Name,Dex #,Item,Ability ,Move A,Move B,Move C,Move D,Nature,IVs *,HP,Atk,Def,Sp.Atk,Sp.Def,Speed,Notes,,,,Test,,
Bulbasaur,1,--,Overgrow,Power Whip,Leech Seed,Sleep Powder,Protect,Adamant,24,245,168,148,148,190,140,* IVs are shown for the most common value if not all IVs are equal,,,,,,
Ivysaur,2,--,Overgrow,Energy Ball,Sludge Bomb,Poison Powder,Synthesis,Modest,16,267,149,168,222,202,162,"If you spot any errors/improvements, let me (Addarash1) or Chaos_lord2 know via Twitch messages.",HP deciles (1 row is 10%),Attack deciles,Defence deciles,S.atk deciles,S.def deciles,Speed deciles
Venusaur,3,--,Overgrow,Sludge,Mega Drain,Nature Power,Grass Whistle,Rash,5,296,192,187,305,198,220,,232.1,116,122,99.1,125.1,100
Charmander,4,--,Blaze,Flare Blitz,Outrage,Will-O-Wisp,Swords Dance,Adamant,31,230,223,122,140,136,219,,250,141.6,140,116,142,124
Charmelon,5,--,Solar Power,Flamethrower,Dragon Pulse,Ancient Power,Sunny Day,Calm,31,320,147,196,196,196,203,Low stat,263.3,164.3,150,140,155.3,141
Charizard,6,--,Blaze,Wing Attack,Ember,Rock Tomb,Growl,Quiet,31,323,215,218,321,232,212,80,272,183.4,162,160.4,166,158.4
Squirtle,7,--,Torrent,Hydro Pump,Aura Sphere,Ice Beam,Mirror Coat,Modest,31,292,118,167,218,164,122,100,280.5,196,173,180,177,176
Wartortle,8,--,Rain Dish,Dive,Dig,Toxic,Rain Dance,Sassy,31,280,183,217,187,238,115,120,289,206.6,186.6,195,190,195
Blastoise,9,--,Torrent,Hydro Cannon,Zap Cannon,Flash Cannon,Withdraw,Calm,4,293,157,241,200,276,186,140,300,219,201,212,202.7,211.7
Caterpie,10,--,Shield Dust,Bug Bite,Tackle,String Shot,Snore,Adamant,31,245,174,120,68,90,147,160,317,233,218,225,220.8,228
Metapod,11,--,Shed Skin,Bug Bite,Tackle,String Shot,Iron Defense,Adamant,31,241,152,148,77,148,96,180,339.9,254,255.8,247,246.9,248.9
Butterfree,12,--,Compound Eyes,Bug Buzz,Psychic,Sleep Powder,Supersonic,Jolly,18,269,134,144,183,204,202,200,641,359,496,365,496,365
Weedle,13,--,Shield Dust,Bug Bite,Poison Sting,String Shot,--,Adamant,31,235,185,110,68,90,157,220,Average Stat:,,,,,
Kakuna,14,--,Shed Skin,Bug Bite,Poison Sting,String Shot,Iron Defense,Adamant,31,232,163,136,77,86,169,240,285.0776892,189.9820717,181.9462151,176.059761,182.5697211,176.4322709
Beedrill ,15,--,Swarm,Poison Jab,Twinneedle,Swords Dance,Toxic Spikes,Adamant,18,279,224,124,120,204,194,260,,,,,,
Pidgey,16,--,Tangled Feet,Brave Bird,Return (102),Feather Dance,Roost,Adamant,31,222,207,116,95,106,211,280,,,,,,
Pidgeotto,17,--,Tangled Feet,Air Slash,Heat Wave,Captivate,Roost,Modest,31,268,140,146,218,136,241,High stat,,,,,,
Pidgeot ,18,--,Tangled Feet,Giga Impact,Sky Attack,Mirror Move,Roost,Jolly,10,307,196,197,139,187,239,,,,,,,
Rattata,19,--,Hustle,Double-Edge,Crunch,Dig,Quick Attack,Jolly,31,202,211,106,77,106,267,,,,,,,
Raticate,20,--,Guts,Super Fang,Hyper Fang,Revenge,Flame Wheel,Adamant,15,260,229,165,108,185,239,,,,,,,
Spearow,21,--,Sniper,Double-Edge,Fly,Steel Wing,Mirror Move,Jolly,31,222,219,96,88,98,262,,,,,,,
Fearow,22,--,Sniper,Drill Peck,Giga Impact,Steel Wing,Growl,Careful,13,274,219,169,144,177,239,,,,,,,
Ekans,23,--,Intimidate,Gunk Shot,Earthquake,Seed Bomb,Glare,Careful,31,232,198,145,103,205,146,,,,,,,
Arbok,24,--,Intimidate,Poison Fang,Ice Fang,Fire Fang,Thunder Fang,Quirky,13,264,209,177,169,197,199,,,,,,,
Pikachu,25,--,Static,Thunderbolt,Surf,Signal Beam,Nasty Plot,Modest,31,229,131,104,218,124,246,,,,,,,
Raichu,26,--,Static,Thunder,Fly,Dig,Magnet Rise,Docile,9,260,215,145,215,195,235,,,,,,,
Sandshrew,27,--,Sand Veil,Earthquake,Rock Slide,X-Scissor,Swords Dance,Adamant,31,251,239,206,68,149,148,,,,,,,
Sandslash,28,--,Sand Veil,Earthquake,Strength,Poison Jab,Sandstorm,Careful,12,293,238,258,115,162,168,,,,,,,
Nidoran-F,29,--,Hustle,Poison Jab,Dig,Aerial Ace,Lovely Kiss,Adamant,31,266,212,143,104,119,161,,,,,,,
Nidorina,30,--,Rivalry,Super Fang,Sludge Bomb,Blizzard,Flatter,Modest,20,291,134,180,217,156,137,,,,,,,
