aero,NAME/GENDER,ABILITY,Move A,Move B,Move C,Move D,IV,HP,ATK,DEF,S.ATK,S.DEF,SPD,NATURE,ITEM,LEGEND,,
1,Bulbasaur,Overgrow,Power Whip,Leech Seed,Sleep Powder,Protect,24,245,162,148,162,180,140,Adamant,,Genders,,Bulbasaur: 24
2,Ivysaur,Overgrow,Energy Ball,Sludge Bomb,Poison Powder,Synthesis,16,267,149,168,222,202,162,Modest,,Male,,Ivysaur: 16
3,Venusaur,Overgrow,Solar Beam,Double-Edge,Sludge,Toxic,5,296,195,197,231,207,210,Naive,,Female,,Venusaur: 5
4,Charmander,Blaze,Flamethrower,Rock Tomb,Dragon Rage,Sunny Day,25,234,155,137,188,135,181,Modest,,No gender,,Charmander: 25
5,Charmeleon,Blaze,Fire Punch,Strength,Crunch,Belly Drum,16,263,187,142,202,172,202,Lonely,,,,Charmeleon: 16
6,Charizard,Blaze,Flamethrower,Wing Attack,Seismic Toss,Scary Face,4,291,198,186,248,200,230,Serious,,HP,OTHER STATS,Charizard: 4
7,Squirtle,Torrent,Muddy Water,Dig,Bite,Icy Wind,25,244,132,181,151,196,137,Calm,,< 260,< 140,Squirtle: 25
8,Wartortle,Torrent,Aqua Tail,Ice Beam,Bite,Rapid Spin,16,265,184,202,172,202,142,Brave,,> 259,> 139,Wartortle: 16
9,Blastoise,Torrent,Hydro Cannon,Mega Punch,Mud-Slap,Rapid Spin,4,293,215,230,180,240,186,Adamant,,> 269,> 154,Blastoise: 4
10,Caterpie,Shield Dust,Bug Bite,Tackle,String Shot,,36,252,117,127,87,97,161,Jolly,,> 289,> 179,Caterpie: 36
11,Metapod,Shed Skin,Bug Bite,Tackle,String Shot,Harden,35,262,97,183,96,107,117,Impish,,> 329,> 204,Metapod: 35
12,Butterfree,Compound Eyes,Bug Buzz,Psychic,Sleep Powder,Supersonic,18,269,120,144,204,204,202,Timid,,> 379,> 259,Butterfree: 18
13,Weedle,Shield Dust,Bug Bite,Poison Sting,String Shot,,36,242,127,117,87,97,171,Jolly,,,,Weedle: 36
14,Kakuna,Shed Skin,Bug Bite,Poison Sting,String Shot,Harden,35,252,107,172,96,107,127,Impish,,,,Kakuna: 35
15,Beedrill,Swarm,Poison Jab,Twineedle,Swords Dance,Toxic Spikes,18,279,224,124,120,204,194,Adamant,,,,Beedrill: 18
16,Pidgey,Keen Eye,Air Slash,Heat Wave,Mirror Move,Sand Attack,31,242,132,137,139,127,169,Modest,,,,Pidgey: 31
